Date,Exercise,Weight,Reps
9-5-22,SA Tri PD,weight,reps
9-20-22,DA Tri PD,weight,reps
9-26-22,DA Tri PD,weight,reps
10-03-22,Waiter Curl,weight,reps
10-18-22,Rear Delt Fly Machine,weight,reps
10-25-22,Hammer Curl,weight,reps
11-2-22,Barbell Curl,weight,reps
11-21-22,Barbell Curl,weight,reps
06-23-23,Cable Row,weight,reps
06-26-23,Barbell Curl,weight,reps
06-28-23,Flat HammerStrength,weight,reps
07-01-23,SA Lateral Cable Raise,weight,reps
07-03-23,Waiter Curl,weight,reps
07-05-23,DA Tri PD,weight,reps
07-07-23,Dumbell Tricep Extension,weight,reps
07-12-23,Waiter Curl,weight,reps
07-14-23,Waiter Curl,weight,reps
07-16-2023,Waiter Curl,weight,reps
07-18-23,Dumbell Tricep Extension,weight,reps
07-20-23,DA Tri PD,weight,reps
07-22-23,SA Lateral Cable Raise,weight,reps
07-25-23,Preacher Machine,weight,reps
07-27-23,Preacher Machine,weight,reps
07-29-23,Preacher Machine,weight,reps
07-31-23,Preacher Machine,weight,reps
08-03-23,Preacher Machine,weight,reps
08-05-23,Barbell Curl,weight,reps
08-07-23,Barbell Curl,weight,reps
08-09-23,Barbell Curl,weight,reps
08-11-23,Preacher Machine,weight,reps
08-13-23,Barbell Curl,weight,reps
08-17-23,Barbell Curl,weight,reps
08-19-23,Preacher Machine,weight,reps
08-21-23,Dip Machine,weight,reps
08-27-23,Skull Crushers,weight,reps
08-29-23,Leg Extension Machine,weight,reps
08-31-23,Leg Curl Machine,weight,reps
09-02-23,Preacher Machine,weight,reps
09-05-23,SA Cable Curl,weight,reps
09-07-23,Leg Extension Machine,weight,reps
09-09-23,Waiter Curl,weight,reps
09-11-23,Waiter Curl,weight,reps
09-13-23,EZ Bar Curl,weight,reps
09-16-23,Barbell Curl,weight,reps
09-19-23,Leg Extension Machine,weight,reps
09-21-23,Leg Extension Machine,weight,reps
09-23-23 - tired,Preacher Machine,weight,reps
09-28-23,SA Cable Curl,weight,reps
09-30-23,Barbell Curl,weight,reps
10-05-23 - Chest still sore I think,Leg Extension Machine,weight,reps
10-10-23,Leg Extension Machine,weight,reps
10-17-23,Overhead Cable Tricep Extension,weight,reps
10-19-23,Preacher Machine,weight,reps
10-24-23,EZ Bar Curl,weight,reps
12-12-23 Tues,Cable Kickbacks,weight,reps
