Raw_Name,New_Name
Dumbbell shoulder lateral raise,Dumbell Lateral Raise
Seated barbell shoulder press,Barbell Shoulder Press
Cable rope overhead tri ext,Overhead Cable Tricep Extension
Single arm tricep push down,SA Tri PD
Preacher curl mach finisher,Preacher Machine
SA Front delt cable raises,SA Front Cable Raise
Tri bar pushdown finisher,DA Tri PD
Cable front/side shoulder,SA Lateral Cable Raise
side shoulder cable raise,SA Lateral Cable Raise
Lat pull-down (side grip),Cable Lat Pulldown
Lat pull down (side grip),Cable Lat Pulldown
SA Overhead tri cable ext,SA Overhead Cable Tricep Extension
DA overhead tri cable ext,Overhead Cable Tricep Extension
Dumbbell sh press seated,Dumbell Shoulder Press
Cable lat pd wide strict,Cable Lat Pulldown
Tricep pushdown triangle,DA Tri PD
Hammer cross body curls,Hammer Curl
Dumbbell shoulder press,Dumbell Shoulder Press
Seated tri ext finisher,Dumbell Tricep Extension
Cable lat pd ins strict,Cable Lat Pulldown
Cable sh raise finisher,SA Lateral Cable Raise
SA cb hammer cable curl,Cable Hammer Curl
DA Cable sh front raise,DA Front Cable Raise
DA Front cable sh raise,DA Front Cable Raise
Front delt plate raise,Front Plate Raise
Overhead cable tri ext,Overhead Cable Tricep Extension
Preacher mach finisher,Preacher Machine
Lat pull down (normal),Cable Lat Pulldown
Shoulder press machine,Shoulder Press Machine
Cable overhead tri ext,Overhead Cable Tricep Extension
Cable Shoulder raises,SA Lateral Cable Raise
Tricep rope push down,DA Tri PD
Tricep push down rope,DA Tri PD
Seated tri extensions,Dumbell Tricep Extension
Tri rope cable oh ext,Overhead Cable Tricep Extension
Smith seated sh press,Smith Machine Shoulder Press
Barbell bent over row,Barbell Row
Cable shoulder raises,SA Lateral Cable Raise
Lat pull-down machine,Lat Pulldown Machine
Bent-over Barbell row,Barbell Row
Laying row lever wide,Chest Supported Row
SA Cable rope cb curl,Cable Hammer Curl
SA Cable tri kickback,Cable Kickbacks
Incline bench machine,Incline HammerStrength
Cable shoulder raise,SA Lateral Cable Raise
Shoulder cable raise,SA Lateral Cable Raise
Tricep push down bar,DA Tri PD
Seated bench machine,Flat HammerStrength
SA cable curl winged,Delete
DA Tri cable rope pd,DA Tri PD
Cable row close grip,Cable Row
Smith sh/v Inc press,Smith Machine Shoulder Press
Seated dumb sh press,Dumbell Shoulder Press
Shld press Mach (sa),Shoulder Press Machine
Tricep rope pushdown,DA Tri PD
SA Cable Rope lat pd,Delete
Cable lat pd in-grip,Cable Lat Pulldown
Seated oh tri ext db,Dumbell Tricep Extension
Ez bar curl (v slow),EZ Bar Curl
shoulder bench mach,Shoulder Press Machine
DA Tri Cable OH Ext,Overhead Cable Tricep Extension
Cable lat pd strict,Cable Lat Pulldown
Dumbbell press flat,Dumbell Flat Bench
Cable side sh raise,SA Lateral Cable Raise
DA OH Tri ext cable,Overhead Cable Tricep Extension
SA Oh cable tri ext,SA Overhead Cable Tricep Extension
DA OH cable tri ext,Overhead Cable Tricep Extension
Single arm tri rope,SA Tri PD
Strict Barbell curl,Barbell Curl
Shoulder press Mach,Shoulder Press Machine
Shoulder press mach,Shoulder Press Machine
Chest sup row close,Chest Supported Row
Cable Lat pd strict,Cable Lat Pulldown
OH DA tri ext cable,Overhead Cable Tricep Extension
Cable row (strict),Cable Row
DA Tri pd triangle,DA Tri PD
SA inc bench curls,Dumbell Curl
Incline bench curl,Dumbell Curl
Tri rope pull-down,DA Tri PD
Chest sup row wide,Chest Supported Row
SA Cable kickbacks,Cable Kickbacks
SA cable kickbacks,Cable Kickbacks
Concentration curl,Concentration Curl
Incline bench mach,Incline HammerStrength
Skull crushers bar,Skull Crushers
Romanian deadlift,RDL
Cable tri rope pd,DA Tri PD
SA Cable sh raise,SA Lateral Cable Raise
Overhead row mach,Lat Pulldown Machine
Tri push triangle,DA Tri PD
Front Plate raise,Front Plate Raise
Cable lat pd wide,Cable Lat Pulldown
Skull crusher bar,Skull Crushers
SA Chest fly Mach,SA Chest Fly Machine
Chest fly machine,Chest Fly Machine
SA Sh cable raise,SA Lateral Cable Raise
Seated OH tri ext,Dumbell Tricep Extension
Cable rope lat pd,Delete
Tricep push down,DA Tri PD
Barbell bent row,Barbell Row
Oh cable tri ext,Overhead Cable Tricep Extension
OH Cable tri ext,Overhead Cable Tricep Extension
Shld cable raise,SA Lateral Cable Raise
