Date,Exercise,Weight,Reps
2023-07-22,Skull Crushers,30,"13,14,14"
2023-08-07,Skull Crushers,35,"17,12,10"
2023-08-11,Skull Crushers,30,"27,22,11"
2023-08-17,Skull Crushers,40,"19,12,8"
2023-08-19,Skull Crushers,40,"15,12,10"
2023-08-21,Skull Crushers,40,"15,8"
2023-08-25,Skull Crushers,40,"10,8,7"
2023-08-27,Skull Crushers,40,"13,13,10"
2023-09-07,Skull Crushers,40,"14,9,9"
2023-09-11,Skull Crushers,40,"10,10,10,9"
2023-09-19,Skull Crushers,40,"10,11,9"
2023-09-23,Skull Crushers,40,"14,11,9,8"
2023-10-05,Skull Crushers,40,"12,9,8"
2023-11-10,Skull Crushers,40,"14,10"
2023-11-14,Skull Crushers,40,"12,135010,9"
2023-11-21,Skull Crushers,50,"10,9,7"
2023-12-05,Skull Crushers,40,
2023-12-19,Skull Crushers,50,"11,9,10,9"
2023-12-26,Skull Crushers,50,"16,12,11,9"
2024-01-02,Skull Crushers,60,"13,9,8"
