Date,Exercise,Weight,Reps
2022-09-20,Flat Bench Press,105,"7,7,6,5"
2022-09-26,Flat Bench Press,105,"10,7,6,5"
2022-10-03,Flat Bench Press,105,"7,8,7,7"
2022-10-18,Flat Bench Press,100,"8,8,7"
2022-10-25,Flat Bench Press,115,"6,5,5,5"
2022-11-02,Flat Bench Press,115,"7,6,6,958"
2022-11-21,Flat Bench Press,105,"8,8,7,6"
2023-06-23,Flat Bench Press,115,"8,8,7"
2023-06-26,Flat Bench Press,115,"7,7,6"
2023-06-28,Flat Bench Press,115,"10,10,8"
2023-07-01,Flat Bench Press,115,"7,7,7"
2023-07-07,Flat Bench Press,115,"10,7,1356,4"
2023-07-10,Flat Bench Press,135,"7,6,5"
2023-07-12,Flat Bench Press,135,"7,5,5"
2023-07-14,Flat Bench Press,135,"8,6,6,5"
2023-07-16,Flat Bench Press,135,"8,6,6,6"
2023-07-18,Flat Bench Press,135,"7,6,5"
2023-07-20,Flat Bench Press,135,"8,7,6,5"
2023-07-22,Flat Bench Press,135,"8,7,6,5"
2023-07-25,Flat Bench Press,135,"8,6,5,4"
2023-07-27,Flat Bench Press,135,"9,7,5"
2023-07-29,Flat Bench Press,135,"7,6,6,5"
2023-07-31,Flat Bench Press,135,"8,6,5"
2023-08-03,Flat Bench Press,135,"8,6,6,5"
2023-08-05,Flat Bench Press,135,"5,5,5,4"
2023-08-07,Flat Bench Press,135,"7,6,5,6,5"
2023-08-09,Flat Bench Press,135,"6,6,5"
2023-08-11,Flat Bench Press,135,"8,6,5,6"
2023-08-13,Flat Bench Press,135,"6,6,6"
2023-08-17,Flat Bench Press,135,"5,7,6"
2023-08-19,Flat Bench Press,135,"7,7,6"
2023-08-21,Flat Bench Press,135,"7,6,7"
2023-08-23,Flat Bench Press,135,"7,6,6,5"
2023-08-25,Flat Bench Press,135,"8,7,7,6"
2023-08-29,Flat Bench Press,135,"8,8,7,7,6"
2023-08-31,Flat Bench Press,135,"9,8,9,8,5"
2023-09-02,Flat Bench Press,135,"6,7,6,7"
2023-09-05,Flat Bench Press,135,"6,7,6,7"
2023-09-07,Flat Bench Press,135,"8,8,6,6"
2023-09-11,Flat Bench Press,135,"8,7,8,7,5"
2023-09-13,Flat Bench Press,140,"7,6,6,5"
2023-09-16,Flat Bench Press,140,"7,7,7,8,6"
2023-09-19,Flat Bench Press,140,"7,7,6,7"
2023-09-21,Flat Bench Press,140,"7,6,7,5"
2023-09-23,Flat Bench Press,140,"8,7,6,6"
2023-09-28,Flat Bench Press,145,"7,6,7,6"
2023-09-30,Flat Bench Press,145,"5,6,7,5"
2023-10-03,Flat Bench Press,145,"8,6,6,4"
2023-10-05,Flat Bench Press,145,"6,6,4"
2023-10-06,Flat Bench Press,145,"10,8,6,6"
2023-10-10,Flat Bench Press,145,"8,6,6,5"
2023-10-17,Flat Bench Press,145,"7,6,5"
2023-10-19,Flat Bench Press,145,"8,7,7"
2023-10-24,Flat Bench Press,145,"7,7,6"
2023-10-26,Flat Bench Press,145,"7,6,6,4"
2023-10-31,Flat Bench Press,145,"8,8,61358"
2023-11-02,Flat Bench Press,145,"8,8,6,51357"
2023-11-07,Flat Bench Press,145,"7,7,7,51356"
2023-11-10,Flat Bench Press,145,"9,6,6"
2023-11-14,Flat Bench Press,145,"7,6,51357"
2023-11-21,Flat Bench Press,145,"9,8,81605,51356"
2023-11-28,Flat Bench Press,165,"8,6,415551356"
2023-12-05,Flat Bench Press,160,"8,51556,41357"
2023-12-12,Flat Bench Press,155,"6,6,41357,6"
2023-12-19,Flat Bench Press,160,"7,6,515551356"
2023-12-26,Flat Bench Press,165,"7,6,415561357"
2024-01-02,Flat Bench Press,155,"7,7,6,6,61355"
